MP_Name,gender
Abdul Samad ,M
Alex Yam ,M
Alvin Tan ,M
Alvin Yeo ,M
Amrin Amin ,M
Amy Khor Lean Suan ,F
Ang Hin Kee ,M
Ang Wei Neng ,M
Anthea Ong ,F
Arasu Duraisamy ,M
Arthur Fong ,M
Azmoon Ahmad ,M
Baey Yam Keng ,M
Benedict Tan ,M
Carrie Tan ,F
Cedric Foo Chee Keng ,M
Chan Chun Sing ,M
Charles Chong ,M
Chee Hong Tat ,M
Chen Show Mao ,M
Cheng Hsing Yao ,M
Cheng Li Hui ,F
Cheryl Chan Wei Ling ,F
Chia Shi-Lu ,M
Chia Yong Yong ,F
Chong Kee Hiong ,M
Christopher de Souza ,M
Chua Kheng Wee Louis ,M
Daniel Goh Pei Siong ,M
Darryl David ,M
David Ong ,M
Denise Phua Lay Peng ,F
Dennis Tan Lip Fong ,M
Derrick Goh ,M
Desmond Choo ,M
Desmond Lee ,M
Desmond Tan ,M
Don Wee ,M
Douglas Foo ,M
Dr Muhammad Faishal Ibrahim ,M
Dr Yaacob Ibrahim ,M
Edward Chia Bing Hui ,M
Edwin Tong Chun Fai ,M
Ellen Lee ,F
Eric Chua ,M
Faizah Jamal ,F
Fatimah Lateef ,F
Foo Mee Har ,F
Gan Kim Yong ,M
Gan Siow Huang ,F
Gan Thiam Poh ,M
Ganesh Rajaram ,M
Gerald Giam Yean Song ,M
Goh Chok Tong ,M
Grace Fu Hai Yien ,F
Halimah Yacob ,F
Hany Soh ,F
Hawazi Daipi ,M
Hazel Poa ,F
He Ting Ru ,F
Heng Chee How ,M
Heng Swee Keat ,M
Hoon Hian Teck ,M
Hri Kumar Nair ,M
Inderjit Singh ,M
Indranee Rajah ,F
Intan Azura Mokhtar ,F
Irene Ng Phek Hoong ,F
Irene Quay Siew Ching ,F
Jamus Jerome Lim ,M
Janet Ang ,F
Janice Koh ,F
Janil Puthucheary ,M
Jessica Tan Soon Neo ,F
Joan Pereira ,F
Josephine Teo ,F
K Karthikeyan ,M
K Shanmugam ,M
K Thanaletchimi ,F
Keith Chua ,M
Khaw Boon Wan ,M
Koh Lian Pin ,M
Koh Poh Koon ,M
Kok Heng Leun ,M
Kuik Shiao-Yin ,F
Kwek Hian Chuan Henry ,M
Lam Pin Min ,M
Laurence Lien ,M
Lawrence Wong ,M
Lee Bee Wah ,F
Lee Hsien Loong ,M
Lee Kuan Yew ,M
Lee Li Lian ,F
Lee Yi Shyan ,M
Leon Perera ,M
Leong Mun Wai ,M
Liang Eng Hwa ,M
Lily Neo ,F
Lim Biow Chuan ,M
Lim Hng Kiang ,M
Lim Sun Sun ,F
Lim Swee Say ,M
Lim Wee Kiak ,M
Lina Chiam ,F
Louis Ng Kok Kwang ,M
Low Thia Khiang ,M
Low Yen Ling ,M
Lui Tuck Yew ,M
Mah Bow Tan ,M
Mahdev Mohan ,M
Mariam Jaafar ,F
Mark Chay ,M
Mark Lee ,M
Mary Liew ,F
Masagos Zulkifli B M M ,M
Melvin Yong Yik Chye ,M
Michael Palmer ,M
Mohamad Maliki Bin Osman ,M
Mohamed Irshad ,M
Mohd Fahmi Aliman ,M
Mohd Ismail Hussein ,M
Muhamad Faisal Bin Abdul Manap ,M
Murali Pillai ,M
Nadia Ahmad Samdin ,F
Neil Parekh Nimil Rajnikant ,M
Ng Chee Meng ,M
Ng Eng Hen ,M
Ng Ling Ling ,F
Nicholas Fang ,M
Ong Hua Han ,M
Ong Teng Koon ,M
Ong Ye Kung ,M
Patrick Tay Teck Guan ,M
Penny Low ,F
Png Eng Huat ,M
Poh Li San ,F
Pritam Singh ,M
R Dhinakaran ,M
Rachel Ong ,F
Raeesah Khan ,F
Rahayu Mahzam ,F
Raj Joshua Thomas ,M
Randolph Tan ,M
Raymond Lim Siang Keat ,M
Razwana Begum Abdul Rahim ,M
Rita Soh Siow Lan ,F
S Iswaran ,M
Saktiandi Supaat ,M
Sam Tan Chin Siong ,M
Seah Kian Peng ,M
See Jinli Jean ,F
Seng Han Thong ,M
Shahira Abdullah ,F
Sharael Taha ,M
Shawn Huang Wei Zhong ,M
Sim Ann ,F
Sitoh Yih Pin ,M
Sun Xueling ,F
Syed Harun Alhabsyi ,M
Sylvia Lim ,F
Tan Chuan-Jin ,M
Tan Kheng Boon Eugene ,M
Tan Kiat How ,M
Tan See Leng ,M
Tan Su Shan ,F
Tan Tai Yong ,M
Tan Wu Meng ,M
Tan Yia Swam ,F
Teo Chee Hean ,M
Teo Ho Pin ,M
Teo Ser Luck ,M
Teo Siong Seng ,M
Terence Ho Wee San ,M
Tharman Shanmugaratnam ,M
Thomas Chua Kee Seng ,M
Tin Pei Ling ,F
Usha Chandradas ,F
Vikram Nair ,M
Vivian Balakrishnan ,M
Walter Theseira ,M
Wan Rizal ,M
Wong Kan Seng ,M
Xie Yao Quan ,M
Yaacob Ibrahim ,M
Yee Chia Hsing ,M
Yee Jenn Jong ,M
Yeo Guat Kwang ,M
Yeo Wan Ling ,M
Yip Hon Weng ,M
Yip Pin Xiu ,F
Zainal Sapari ,M
Zainudin Nordin ,M
Zaqy Mohamad ,M
Zhulkarnain Abdul Rahim ,M
