MP_Name,party
Abdul Samad ,NMP
Alex Yam ,PAP
Alvin Tan ,PAP
Alvin Yeo ,PAP
Amrin Amin ,PAP
Amy Khor Lean Suan ,PAP
Ang Hin Kee ,PAP
Ang Wei Neng ,PAP
Anthea Ong ,NMP
Arasu Duraisamy ,NMP
Arthur Fong ,PAP
Azmoon Ahmad ,NMP
Baey Yam Keng ,PAP
Benedict Tan ,NMP
Carrie Tan ,PAP
Cedric Foo Chee Keng ,PAP
Chan Chun Sing ,PAP
Charles Chong ,PAP
Chee Hong Tat ,PAP
Chen Show Mao ,WP
Cheng Hsing Yao ,NMP
Cheng Li Hui ,PAP
Cheryl Chan Wei Ling ,PAP
Chia Shi-Lu ,PAP
Chia Yong Yong ,NMP
Chong Kee Hiong ,PAP
Christopher de Souza ,PAP
Chua Kheng Wee Louis ,WP
Daniel Goh Pei Siong ,WP
Darryl David ,PAP
David Ong ,PAP
Denise Phua Lay Peng ,PAP
Dennis Tan Lip Fong ,WP
Derrick Goh ,PAP
Desmond Choo ,PAP
Desmond Lee ,PAP
Desmond Tan ,PAP
Don Wee ,PAP
Douglas Foo ,NMP
Dr Muhammad Faishal Ibrahim ,PAP
Dr Yaacob Ibrahim ,PAP
Edward Chia Bing Hui ,PAP
Edwin Tong Chun Fai ,PAP
Ellen Lee ,PAP
Eric Chua ,PAP
Faizah Jamal ,NMP
Fatimah Lateef ,PAP
Foo Mee Har ,PAP
Gan Kim Yong ,PAP
Gan Siow Huang ,PAP
Gan Thiam Poh ,PAP
Ganesh Rajaram ,NMP
Gerald Giam Yean Song ,WP
Goh Chok Tong ,PAP
Grace Fu Hai Yien ,PAP
Halimah Yacob ,PAP
Hany Soh ,PAP
Hawazi Daipi ,PAP
Hazel Poa ,PSP
He Ting Ru ,WP
Heng Chee How ,PAP
Heng Swee Keat ,PAP
Hoon Hian Teck ,NMP
Hri Kumar Nair ,PAP
Inderjit Singh ,PAP
Indranee Rajah ,PAP
Intan Azura Mokhtar ,PAP
Irene Ng Phek Hoong ,PAP
Irene Quay Siew Ching ,NMP
Jamus Jerome Lim ,WP
Janet Ang ,NMP
Janice Koh ,NMP
Janil Puthucheary ,PAP
Jessica Tan Soon Neo ,PAP
Joan Pereira ,PAP
Josephine Teo ,PAP
K Karthikeyan ,NMP
K Shanmugam ,PAP
K Thanaletchimi ,NMP
Keith Chua ,NMP
Khaw Boon Wan ,PAP
Koh Lian Pin ,NMP
Koh Poh Koon ,PAP
Kok Heng Leun ,NMP
Kuik Shiao-Yin ,NMP
Kwek Hian Chuan Henry ,PAP
Lam Pin Min ,PAP
Laurence Lien ,NMP
Lawrence Wong ,PAP
Lee Bee Wah ,PAP
Lee Hsien Loong ,PAP
Lee Kuan Yew ,PAP
Lee Li Lian ,WP
Lee Yi Shyan ,PAP
Leon Perera ,WP
Leong Mun Wai ,PSP
Liang Eng Hwa ,PAP
Lily Neo ,PAP
Lim Biow Chuan ,PAP
Lim Hng Kiang ,PAP
Lim Sun Sun ,NMP
Lim Swee Say ,PAP
Lim Wee Kiak ,PAP
Lina Chiam ,SPP
Louis Ng Kok Kwang ,PAP
Low Thia Khiang ,WP
Low Yen Ling ,PAP
Lui Tuck Yew ,PAP
Mah Bow Tan ,PAP
Mahdev Mohan ,NMP
Mariam Jaafar ,PAP
Mark Chay ,NMP
Mark Lee ,NMP
Mary Liew ,NMP
Masagos Zulkifli B M M ,PAP
Melvin Yong Yik Chye ,PAP
Michael Palmer ,PAP
Mohamad Maliki Bin Osman ,PAP
Mohamed Irshad ,NMP
Mohd Fahmi Aliman ,PAP
Mohd Ismail Hussein ,NMP
Muhamad Faisal Bin Abdul Manap ,WP
Murali Pillai ,PAP
Nadia Ahmad Samdin ,PAP
Neil Parekh Nimil Rajnikant ,NMP
Ng Chee Meng ,PAP
Ng Eng Hen ,PAP
Ng Ling Ling ,PAP
Nicholas Fang ,NMP
Ong Hua Han ,NMP
Ong Teng Koon ,PAP
Ong Ye Kung ,PAP
Patrick Tay Teck Guan ,PAP
Penny Low ,PAP
Png Eng Huat ,WP
Poh Li San ,PAP
Pritam Singh ,WP
R Dhinakaran ,NMP
Rachel Ong ,PAP
Raeesah Khan ,WP
Rahayu Mahzam ,PAP
Raj Joshua Thomas ,NMP
Randolph Tan ,NMP
Raymond Lim Siang Keat ,PAP
Razwana Begum Abdul Rahim ,NMP
Rita Soh Siow Lan ,NMP
S Iswaran ,PAP
Saktiandi Supaat ,PAP
Sam Tan Chin Siong ,PAP
Seah Kian Peng ,PAP
See Jinli Jean ,NMP
Seng Han Thong ,PAP
Shahira Abdullah ,NMP
Sharael Taha ,PAP
Shawn Huang Wei Zhong ,PAP
Sim Ann ,PAP
Sitoh Yih Pin ,PAP
Sun Xueling ,PAP
Syed Harun Alhabsyi ,NMP
Sylvia Lim ,WP
Tan Chuan-Jin ,PAP
Tan Kheng Boon Eugene ,NMP
Tan Kiat How ,PAP
Tan See Leng ,PAP
Tan Su Shan ,NMP
Tan Tai Yong ,NMP
Tan Wu Meng ,PAP
Tan Yia Swam ,NMP
Teo Chee Hean ,PAP
Teo Ho Pin ,PAP
Teo Ser Luck ,PAP
Teo Siong Seng ,NMP
Terence Ho Wee San ,NMP
Tharman Shanmugaratnam ,PAP
Thomas Chua Kee Seng ,NMP
Tin Pei Ling ,PAP
Usha Chandradas ,NMP
Vikram Nair ,PAP
Vivian Balakrishnan ,PAP
Walter Theseira ,NMP
Wan Rizal ,PAP
Wong Kan Seng ,PAP
Xie Yao Quan ,PAP
Yaacob Ibrahim ,PAP
Yee Chia Hsing ,PAP
Yee Jenn Jong ,WP
Yeo Guat Kwang ,PAP
Yeo Wan Ling ,PAP
Yip Hon Weng ,PAP
Yip Pin Xiu ,NMP
Zainal Sapari ,PAP
Zainudin Nordin ,PAP
Zaqy Mohamad ,PAP
Zhulkarnain Abdul Rahim ,PAP
